query,ref_match,ref_match_id
143B,143B,EFO:0006355
22Rv1,22Rv1,EFO:0002095
23132/87,23132/87,EFO:0006528
5637,5637,EFO:0002096
59M,59M,EFO:0006358
639-V,639V,EFO:0002097
647-V,647V,EFO:0002098
769-P,769P,EFO:0002099
A101D,A101D,EFO:0002100
A172,A172,EFO:0002101
A-204,A204,EFO:0002102
A2058,A2058,EFO:0006361
A2780,A2780,EFO:0006362
A-375,A375,EFO:0002103
A3/KAW,A3/KAW,EFO:0006532
A-498,A498,EFO:0002105
A4/Fuk,A4/Fuk,EFO:0006533
A549,A549,EFO:0001086
A-673,A673,EFO:0002106
ABC-1,ABC-1,EFO:0002813
ACHN,ACHN,EFO:0002108
AGS,AGS,EFO:0002109
AMO-1,AMO-1,EFO:0006534
AsPC-1,AsPC1,EFO:0002112
AU565,AU565,EFO:0001087
AZ-521,AZ-521,EFO:0002814
BEN,BEN,EFO:0006537
BFTC-905,BFTC905,EFO:0002115
BFTC-909,BFTC-909,EFO:0006538
BHT-101,BHT101,EFO:0002116
BHY,BHY,EFO:0006539
BICR 22,BICR 22,EFO:0006541
BICR 31,BICR 31,EFO:0006542
BT-20,BT20,EFO:0001092
BT-474,BT474,EFO:0001093
BT-483,BT483,EFO:0001095
BT-549,BT549,EFO:0001096
BV-173,BV173,EFO:0002118
BxPC-3,BxPC-3,EFO:0002709
C2BBe1,C2BBe1,EFO:0006546
C32,C32,EFO:0006364
C3A,C3A,EFO:0002121
CA46,CA46,EFO:0002124
CACO2,Caco-2,EFO:0001099
CADO-ES1,CADO ES1,EFO:0002818
Caki-1,Caki1,EFO:0002149
Caki-2,Caki2,EFO:0002150
CAL-120,CAL120,EFO:0005356
CAL-12T,CAL-12T,EFO:0006547
CAL-148,CAL148,EFO:0005357
CAL 27,CAL 27,EFO:0006366
CAL-51,CAL51,EFO:0005358
CAL-54,CAL54,EFO:0002125
CAL-62,CAL62,EFO:0002126
CAL-85-1,CAL851,EFO:0005359
Calu-1,Calu1,EFO:0002151
Calu-3,Calu3,EFO:0002819
Calu-6,Calu6,EFO:0002152
CAMA-1,CAMA1,EFO:0001100
Caov-3,CaOv3,EFO:0002148
Capan-1,Capan1,EFO:0002153
Capan-2,Capan2,EFO:0002154
CCF-STTG1,CCFSTTG1,EFO:0002127
CFPAC-1,CFPAC-1,EFO:0006551
CGTH-W-1,CGTHW1,EFO:0002131
ChaGo-K-1,ChaGoK1,EFO:0002155
CHL-1,CHL1,EFO:0002132
CHP-212,CHP212,EFO:0002133
CI-1,CI-1,EFO:0006367
CL-11,CL-11,EFO:0006368
CL-34,CL-34,EFO:0006369
CL-40,CL-40,EFO:0006370
CMK,CMK,EFO:0003037
CML-T1,CMLT1,EFO:0002134
COLO-678,COLO 678,EFO:0006371
COLO-679,COLO 679,EFO:0006372
COLO-680N,COLO 680N,EFO:0006373
COLO-699,COLO 699,EFO:0006374
COLO-704,COLO704,EFO:0002139
COLO 741,COLO 741,EFO:0006375
COLO-783,COLO 783,EFO:0006376
COLO 792,COLO 792,EFO:0006377
COLO-800,COLO 800,EFO:0006378
COLO-849,COLO 849,EFO:0006379
COR-L105,CORL105,EFO:0002141
COR-L23,CORL23,EFO:0002142
COR-L279,CORL279,EFO:0002143
COR-L47,COR-L47,EFO:0006556
COR-L88,CORL88,EFO:0002144
COV318,COV318,EFO:0006382
COV362,COV362,EFO:0006383
COV434,COV434,EFO:0006384
COV504,COV504,EFO:0006385
COV644,COV644,EFO:0006386
CPC-N,CPC-N,EFO:0006559
CW-2,CW-2,EFO:0006560
DAN-G,DAN-G,EFO:0006562
Daoy,Daoy,EFO:0005698
Daudi,Daudi,EFO:0002169
DBTRG-05MG,DBTRG05MG,EFO:0002159
DB,DB,EFO:0002158
DK-MG,DKMG,EFO:0002161
DLD-1,DLD1,EFO:0006389
DMS 114,DMS114,EFO:0002162
DMS 454,DMS 454,EFO:0006390
DND-41,DND-41,EFO:0007074
DOHH-2,DOHH2,EFO:0002167
DU 145,DU 145,EFO:0005441
DU4475,DU4475,EFO:0002168
DV-90,DV-90,EFO:0006565
EB1,EB1,EFO:0002172
EB2,EB2,EFO:0002173
EBC-1,EBC-1,EFO:0003115
EFM-192A,EFM-192A,EFO:0006568
EFM-19,EFM19,EFO:0002175
EFO-27,EFO-27,EFO:0006571
EJM,EJM,EFO:0006572
EKVX,EKVX,EFO:0006786
EM-2,EM2,EFO:0002176
EPLC-272H,EPLC-272H,EFO:0006573
ES-2,ES2,EFO:0002177
EVSA-T,EVSA-T,EFO:0006574
FaDu,FaDu,EFO:0002178
FU97,Fu97,EFO:0002054
G-361,G-361,EFO:0006394
G-401,G401,EFO:0002179
G-402,G402,EFO:0002180
GA-10,GA10,EFO:0002181
GCT,GCT,EFO:0002182
GDM-1,GDM1,EFO:0002183
GP2d,GP2d,EFO:0006575
GRANTA-519,Granta-519,EFO:0005369
GR-M,GR-M,EFO:0006577
H4,H4,EFO:0002184
HCC1143,HCC1143,EFO:0001169
HCC-1171,HCC1171,EFO:0003126
HCC1187,HCC1187,EFO:0001170
HCC-1195,HCC1195,EFO:0005371
HCC-1359,HCC1359,EFO:0003128
HCC1395,HCC1395,EFO:0002185
HCC1419,HCC1419,EFO:0005372
HCC1428,HCC1428,EFO:0001171
HCC1500,HCC1500,EFO:0001172
HCC1569,HCC1569,EFO:0001173
HCC1599,HCC1599,EFO:0002186
HCC-15,HCC15,EFO:0003129
HCC1806,HCC1806,EFO:0005373
HCC1937,HCC1937,EFO:0001174
HCC1954,HCC1954,EFO:0001175
HCC202,HCC202,EFO:0001176
HCC2157,HCC2157,EFO:0001177
HCC2218,HCC2218,EFO:0002187
HCC-2279,HCC2279,EFO:0006431
HCC2935,HCC2935,EFO:0005375
HCC-33,HCC0033,EFO:0006417
HCC364,HCC0364,EFO:0006420
HCC-366,HCC366,EFO:0003131
HCC38,HCC38,EFO:0001180
HCC4006,HCC4006,EFO:0003132
HCC-44,HCC44,EFO:0003133
HCC70,HCC70,EFO:0001181
HCC-78,HCC78,EFO:0003136
HCC827,HCC827,EFO:0003137
HCC-95,HCC95,EFO:0003138
HCT-15,HCT15,EFO:0002188
HCT-8,HCT8,EFO:0002189
HD-MY-Z,HDMYZ,EFO:0002190
HEC-1-A,HEC1A,EFO:0002191
HEC-1-B,HEC1B,EFO:0002192
HGC-27,HGC-27,EFO:0006581
HH,HH,EFO:0002194
HMCB,HMCB,EFO:0002195
HNT34,HNT-34,EFO:0006583
HOP-62,HOP62,EFO:0006439
HOP-92,HOP92,EFO:0006440
HOS,HOS,EFO:0002196
HPAC,HPAC,EFO:0002197
Hs 255.T,Hs 255.T,EFO:0006584
Hs 294T,Hs 294T,EFO:0006585
Hs 675.T,Hs 675.T,EFO:0006587
Hs 683,Hs 683,EFO:0006441
Hs 695T,Hs 695T,EFO:0006588
Hs 746T,Hs 746T,EFO:0006589
Hs 766T,Hs 766T,EFO:0006590
Hs 839.T,Hs 839.T,EFO:0006591
Hs 852.T,Hs 852.T,EFO:0006592
Hs 895.T,Hs 895.T,EFO:0006593
Hs 936.T,Hs 936.T,EFO:0006594
Hs 940.T,Hs 940.T,EFO:0006595
HT-1080,HT1080,EFO:0002059
HT115,HT115,EFO:0006442
HT-1197,HT1197,EFO:0002202
HT-1376,HT1376,EFO:0002203
HT-144,HT144,EFO:0006443
HT-29,HT-29,EFO:0001193
HT55,HT55,EFO:0006444
HT,HT,EFO:0002200
huH-1,huH-1,EFO:0006445
HuNS1,HuNS1,EFO:0002207
HUP-T3,HuP-T3,EFO:0006596
HUP-T4,HuPT4,EFO:0002208
IGR-37,IGR-37,EFO:0006597
IGROV1,IGROV-1,EFO:0005385
IM95,IM-95,EFO:0006446
IMR-32,IMR-32,EFO:0001195
IPC-298,IPC-298,EFO:0006447
J82,J82,EFO:0002210
JeKo-1,JeKo-1,EFO:0005387
JHH-1,JHH-1,EFO:0006599
JHH-2,JHH-2,EFO:0006600
JHH-4,JHH-4,EFO:0006601
JHH-5,JHH-5,EFO:0006602
JHH-7,JHH-7,EFO:0006603
JIMT-1,JIMT-1,EFO:0005388
JJN-3,JJN-3,EFO:0006605
JL-1,JL-1,EFO:0006448
JM1,JM1,EFO:0002212
JRT3T35,JRT3T35,EFO:0002213
JVM-2,JVM-2,EFO:0005476
JVM-3,JVM3,EFO:0002214
KARPAS-299,KARPAS 299,EFO:0005390
