query,ref_match,ref_match_id
B-lymphoblastic leukemia/lymphoma,B-cell acute lymphoblastic leukemia,EFO:0000094
obsolete precursor B lymphoblastic lymphoma/leukemia,B-cell acute lymphoblastic leukemia,EFO:0000094
B-cell acute lymphoblastic leukemia,B-cell acute lymphoblastic leukemia,EFO:0000094
B-cell acute lymphoblastic leukemia,B-cell acute lymphoblastic leukemia,EFO:0000094
B Lymphoblastic Leukemia/Lymphoma,B-cell acute lymphoblastic leukemia,EFO:0000094
chronic lymphocytic leukemia,chronic lymphocytic leukemia,EFO:0000095
chronic lymphocytic leukemia,chronic lymphocytic leukemia,EFO:0000095
B-cell chronic lymphocytic leukemia,chronic lymphocytic leukemia,EFO:0000095
Chronic Lymphocytic Leukemia,chronic lymphocytic leukemia,EFO:0000095
mature B-cell neoplasm,neoplasm of mature B-cells,EFO:0000096
neoplasm of mature B-cells,neoplasm of mature B-cells,EFO:0000096
neoplasm of mature B-cells,neoplasm of mature B-cells,EFO:0000096
Mature B-Cell Neoplasm,neoplasm of mature B-cells,EFO:0000096
B-Cell Non-Hodgkin Lymphoma,neoplasm of mature B-cells,EFO:0000096
B cell,obsolete_B-lymphocyte,EFO:0000097
B cell,obsolete_B lymphocyte,EFO:0000102
hypothalamus,obsolete_hypothalamus,EFO:0000107
hypothalamus,obsolete_hypothalamus,EFO:0000107
Hypothalamus,obsolete_hypothalamus,EFO:0000107
hypothalamus,obsolete_hypothalamus,EFO:0000107
hypothalamus,obsolete_hypothalamus,EFO:0000107
olfactory lobe,obsolete_olfactory lobe,EFO:0000108
olfactory lobe,obsolete_olfactory lobe,EFO:0000108
Olfactory bulb,obsolete_olfactory lobe,EFO:0000108
olfactory bulb,obsolete_olfactory lobe,EFO:0000108
spinal cord,obsolete_spinal cord,EFO:0000110
spinal cord,obsolete_spinal cord,EFO:0000110
Spinal cord,obsolete_spinal cord,EFO:0000110
spinal cord,obsolete_spinal cord,EFO:0000110
spinal cord,obsolete_spinal cord,EFO:0000110
