query_id,source_query,gold_codes,gold_labels,original_row_indices,original_mapping_pair_count
0,143B,EFO:0006355,143B,0,1
1,22Rv1,EFO:0002095,22Rv1,1,1
2,23132/87,EFO:0006528,23132/87,2,1
3,5637,EFO:0002096,5637,3,1
4,59M,EFO:0006358,59M,4,1
5,639-V,EFO:0002097,639V,5,1
6,647-V,EFO:0002098,647V,6,1
7,769-P,EFO:0002099,769P,7,1
8,A101D,EFO:0002100,A101D,8,1
9,A172,EFO:0002101,A172,9,1
10,A-204,EFO:0002102,A204,10,1
11,A2058,EFO:0006361,A2058,11,1
12,A2780,EFO:0006362,A2780,12,1
13,A-375,EFO:0002103,A375,13,1
14,A3/KAW,EFO:0006532,A3/KAW,14,1
15,A-498,EFO:0002105,A498,15,1
16,A4/Fuk,EFO:0006533,A4/Fuk,16,1
17,A549,EFO:0001086,A549,17,1
18,A-673,EFO:0002106,A673,18,1
19,ABC-1,EFO:0002813,ABC-1,19,1
20,ACHN,EFO:0002108,ACHN,20,1
21,AGS,EFO:0002109,AGS,21,1
22,AMO-1,EFO:0006534,AMO-1,22,1
23,AsPC-1,EFO:0002112,AsPC1,23,1
24,AU565,EFO:0001087,AU565,24,1
25,AZ-521,EFO:0002814,AZ-521,25,1
26,BEN,EFO:0006537,BEN,26,1
27,BFTC-905,EFO:0002115,BFTC905,27,1
28,BFTC-909,EFO:0006538,BFTC-909,28,1
29,BHT-101,EFO:0002116,BHT101,29,1
30,BHY,EFO:0006539,BHY,30,1
31,BICR 22,EFO:0006541,BICR 22,31,1
32,BICR 31,EFO:0006542,BICR 31,32,1
33,BT-20,EFO:0001092,BT20,33,1
34,BT-474,EFO:0001093,BT474,34,1
35,BT-483,EFO:0001095,BT483,35,1
36,BT-549,EFO:0001096,BT549,36,1
37,BV-173,EFO:0002118,BV173,37,1
38,BxPC-3,EFO:0002709,BxPC-3,38,1
39,C2BBe1,EFO:0006546,C2BBe1,39,1
40,C32,EFO:0006364,C32,40,1
41,C3A,EFO:0002121,C3A,41,1
42,CA46,EFO:0002124,CA46,42,1
43,CACO2,EFO:0001099,Caco-2,43,1
44,CADO-ES1,EFO:0002818,CADO ES1,44,1
45,Caki-1,EFO:0002149,Caki1,45,1
46,Caki-2,EFO:0002150,Caki2,46,1
47,CAL-120,EFO:0005356,CAL120,47,1
48,CAL-12T,EFO:0006547,CAL-12T,48,1
49,CAL-148,EFO:0005357,CAL148,49,1
50,CAL 27,EFO:0006366,CAL 27,50,1
