Metric,text2term (published),MetaHarmonizer (published),llm-ontology-mapper (this study)
% More General,unavailable,unavailable,0.0500
% More Specific,unavailable,unavailable,
% Same,unavailable,unavailable,0.5500
% Sibling,unavailable,unavailable,
% Unrelated,unavailable,unavailable,0.4000
F1,unavailable,unavailable,0.7500
MRR,unavailable,unavailable,0.5750
Precision,unavailable,unavailable,0.6000
Recall,unavailable,unavailable,1.0000
Recall@GT,unavailable,unavailable,0.5000
Top-1,unavailable,unavailable,0.5500
Top-3,unavailable,unavailable,0.6000
Top-5,unavailable,unavailable,0.6000
