metric,value,numerator,denominator,evaluation_unit,status
Top-1,0.55,,20,unique_query,OK
Top-3,0.6,,20,unique_query,OK
Top-5,0.6,,20,unique_query,OK
MRR,0.575,,20,unique_query,OK
Recall@GT,0.5,,20,unique_query,OK
% Same,0.55,,20,unique_query,OK
% More Specific,,,20,unique_query,OK
% More General,0.05,,20,unique_query,OK
% Sibling,,,20,unique_query,OK
% Unrelated,0.4,,20,unique_query,OK
Precision,0.6,,20,unique_query,OK
Recall,1.0,,20,unique_query,OK
F1,0.7499999999999999,,20,unique_query,OK
