query_id,query,predicted_code,predicted_label,predicted_ontology,gold_codes,gold_labels,graph_relationship,graph_matched_gold_code,reviewer_decision,reviewer_notes
23,Peripheral Primitive Neuroectodermal Tumor,MONDO:0018271,peripheral primitive neuroectodermal tumor,MONDO,EFO:0000174,Ewing sarcoma,Sibling,EFO:0000174,,
31,liver carcinoma,MONDO:0018531,carcinoma of liver and intrahepatic biliary tract,MONDO,EFO:0000182,hepatocellular carcinoma,More General,EFO:0000182,,
60,monoclonal gammopathy of uncertain significance,EFO:1000836,benign monoclonal gammopathy,EFO,EFO:0000203,monoclonal gammopathy,More Specific,EFO:0000203,,
94,Acute Promyelocytic Leukemia with t(15;17)(q24.1;q21.2); PML-RARA,MONDO:0100375,"acute myeloid leukemia, t(15;17)(q24;q21)",MONDO,EFO:0000224,acute promyelocytic leukemia,Sibling,EFO:0000224,,
138,malignant astrocytoma,EFO:0002499,anaplastic astrocytoma,EFO,EFO:0000271|EFO:0000272,obsolete_astrocytic tumor|astrocytoma,More Specific,EFO:0000272,,
142,Astrocytic Tumor,MONDO:0021636,astrocytic tumor,MONDO,EFO:0000272,astrocytoma,More General,EFO:0000272,,
145,Eczema,MONDO:0002406,dermatitis,MONDO,EFO:0000274,atopic eczema,More General,EFO:0000274,,
191,luminal breast carcinoma A,MONDO:0021116,luminal A breast carcinoma,MONDO,EFO:0000306,breast tumor luminal,More Specific,EFO:0000306,,
194,bronchiolo-alveolar adenocarcinoma,EFO:1001941,bronchioloalveolar carcinoma,EFO,EFO:0000308,bronchoalveolar adenocarcinoma,Sibling,EFO:0000308,,
196,minimally invasive lung adenocarcinoma,EFO:0000571,lung adenocarcinoma,EFO,EFO:0000308,bronchoalveolar adenocarcinoma,More General,EFO:0000308,,
197,Minimally Invasive Lung Adenocarcinoma,EFO:0000571,lung adenocarcinoma,EFO,EFO:0000308,bronchoalveolar adenocarcinoma,More General,EFO:0000308,,
302,diabetic autonomic neuropathy,MONDO:0001299,diabetic autonomic neuropathy,MONDO,EFO:0000401|EFO:1000783,diabetic nephropathy|diabetic neuropathy,More Specific,EFO:1000783,,
303,type 1 diabetes nephropathy,EFO:0004996,type 1 diabetes nephropathy,EFO,EFO:0000401,diabetic nephropathy,More Specific,EFO:0000401,,
304,type 2 diabetes nephropathy,EFO:0004997,type 2 diabetes nephropathy,EFO,EFO:0000401,diabetic nephropathy,More Specific,EFO:0000401,,
