query_id,query,predicted_code,predicted_label,gold_codes,graph_relationship,graph_matched_gold_code,graph_shared_parent_code,graph_prediction_found,graph_gold_found,note
0,143B,EFO:0006355,143B,EFO:0006355,Same,EFO:0006355,,True,True,
1,22Rv1,EFO:0002095,22Rv1,EFO:0002095,Same,EFO:0002095,,True,True,
2,23132/87,EFO:0006528,23132/87,EFO:0006528,Same,EFO:0006528,,True,True,
3,5637,,,EFO:0002096,Not Applicable,,,,,No prediction and/or no gold codes to compare.
4,59M,EFO:0006358,59M,EFO:0006358,Same,EFO:0006358,,True,True,
5,639-V,EFO:0002097,639V,EFO:0002097,Same,EFO:0002097,,True,True,
6,647-V,EFO:0002098,647V,EFO:0002098,Same,EFO:0002098,,True,True,
7,769-P,EFO:0002099,769P,EFO:0002099,Same,EFO:0002099,,True,True,
8,A101D,EFO:0002100,A101D,EFO:0002100,Same,EFO:0002100,,True,True,
9,A172,EFO:0002101,A172,EFO:0002101,Same,EFO:0002101,,True,True,
10,A-204,EFO:0002102,A204,EFO:0002102,Same,EFO:0002102,,True,True,
11,A2058,EFO:0006361,A2058,EFO:0006361,Same,EFO:0006361,,True,True,
12,A2780,EFO:0006362,A2780,EFO:0006362,Same,EFO:0006362,,True,True,
13,A-375,EFO:0002103,A375,EFO:0002103,Same,EFO:0002103,,True,True,
14,A3/KAW,EFO:0006532,A3/KAW,EFO:0006532,Same,EFO:0006532,,True,True,
15,A-498,,,EFO:0002105,Not Applicable,,,,,No prediction and/or no gold codes to compare.
16,A4/Fuk,EFO:0006533,A4/Fuk,EFO:0006533,Same,EFO:0006533,,True,True,
17,A549,EFO:0001086,A549,EFO:0001086,Same,EFO:0001086,,True,True,
18,A-673,EFO:0002106,A673,EFO:0002106,Same,EFO:0002106,,True,True,
19,ABC-1,EFO:0002813,ABC-1,EFO:0002813,Same,EFO:0002813,,True,True,
20,ACHN,EFO:0002108,ACHN,EFO:0002108,Same,EFO:0002108,,True,True,
21,AGS,,,EFO:0002109,Not Applicable,,,,,No prediction and/or no gold codes to compare.
22,AMO-1,EFO:0006534,AMO-1,EFO:0006534,Same,EFO:0006534,,True,True,
23,AsPC-1,EFO:0002112,AsPC1,EFO:0002112,Same,EFO:0002112,,True,True,
24,AU565,EFO:0001087,AU565,EFO:0001087,Same,EFO:0001087,,True,True,
25,AZ-521,EFO:0002814,AZ-521,EFO:0002814,Same,EFO:0002814,,True,True,
26,BEN,MONDO:0015134,constitutional neutropenia,EFO:0006537,Unrelated,,,True,True,
27,BFTC-905,EFO:0002115,BFTC905,EFO:0002115,Same,EFO:0002115,,True,True,
28,BFTC-909,EFO:0006538,BFTC-909,EFO:0006538,Same,EFO:0006538,,True,True,
29,BHT-101,EFO:0002116,BHT101,EFO:0002116,Same,EFO:0002116,,True,True,
30,BHY,EFO:0006539,BHY,EFO:0006539,Same,EFO:0006539,,True,True,
31,BICR 22,EFO:0006541,BICR 22,EFO:0006541,Same,EFO:0006541,,True,True,
32,BICR 31,EFO:0006542,BICR 31,EFO:0006542,Same,EFO:0006542,,True,True,
33,BT-20,EFO:0001092,BT20,EFO:0001092,Same,EFO:0001092,,True,True,
34,BT-474,EFO:0001093,BT474,EFO:0001093,Same,EFO:0001093,,True,True,
35,BT-483,EFO:0001095,BT483,EFO:0001095,Same,EFO:0001095,,True,True,
36,BT-549,EFO:0001096,BT549,EFO:0001096,Same,EFO:0001096,,True,True,
37,BV-173,EFO:0002118,BV173,EFO:0002118,Same,EFO:0002118,,True,True,
38,BxPC-3,EFO:0002709,BxPC-3,EFO:0002709,Same,EFO:0002709,,True,True,
39,C2BBe1,EFO:0006546,C2BBe1,EFO:0006546,Same,EFO:0006546,,True,True,
40,C32,EFO:1000354,Malignant Laryngeal Neoplasm,EFO:0006364,Unrelated,,,True,True,
41,C3A,EFO:0004243,carcinoid tumor,EFO:0002121,Unrelated,,,True,True,
42,CA46,EFO:0002124,CA46,EFO:0002124,Same,EFO:0002124,,True,True,
43,CACO2,EFO:0001099,Caco-2,EFO:0001099,Same,EFO:0001099,,True,True,
44,CADO-ES1,EFO:0002818,CADO ES1,EFO:0002818,Same,EFO:0002818,,True,True,
45,Caki-1,EFO:0002149,Caki1,EFO:0002149,Same,EFO:0002149,,True,True,
46,Caki-2,EFO:0002150,Caki2,EFO:0002150,Same,EFO:0002150,,True,True,
47,CAL-120,EFO:0005356,CAL120,EFO:0005356,Same,EFO:0005356,,True,True,
48,CAL-12T,EFO:0006547,CAL-12T,EFO:0006547,Same,EFO:0006547,,True,True,
49,CAL-148,EFO:0005357,CAL148,EFO:0005357,Same,EFO:0005357,,True,True,
50,CAL 27,EFO:0006366,CAL 27,EFO:0006366,Same,EFO:0006366,,True,True,
51,CAL-51,EFO:0005358,CAL51,EFO:0005358,Same,EFO:0005358,,True,True,
52,CAL-54,EFO:0002125,CAL54,EFO:0002125,Same,EFO:0002125,,True,True,
53,CAL-62,EFO:0002126,CAL62,EFO:0002126,Same,EFO:0002126,,True,True,
54,CAL-85-1,EFO:0005359,CAL851,EFO:0005359,Same,EFO:0005359,,True,True,
55,Calu-1,EFO:0002151,Calu1,EFO:0002151,Same,EFO:0002151,,True,True,
56,Calu-3,EFO:0002819,Calu3,EFO:0002819,Same,EFO:0002819,,True,True,
57,Calu-6,EFO:0002152,Calu6,EFO:0002152,Same,EFO:0002152,,True,True,
58,CAMA-1,EFO:0001100,CAMA1,EFO:0001100,Same,EFO:0001100,,True,True,
59,Caov-3,EFO:0002148,CaOv3,EFO:0002148,Same,EFO:0002148,,True,True,
60,Capan-1,EFO:0002153,Capan1,EFO:0002153,Same,EFO:0002153,,True,True,
61,Capan-2,EFO:0002154,Capan2,EFO:0002154,Same,EFO:0002154,,True,True,
62,CCF-STTG1,EFO:0002127,CCFSTTG1,EFO:0002127,Same,EFO:0002127,,True,True,
63,CFPAC-1,EFO:0006551,CFPAC-1,EFO:0006551,Same,EFO:0006551,,True,True,
64,CGTH-W-1,EFO:0002131,CGTHW1,EFO:0002131,Same,EFO:0002131,,True,True,
65,ChaGo-K-1,EFO:0002155,ChaGoK1,EFO:0002155,Same,EFO:0002155,,True,True,
66,CHL-1,EFO:0002132,CHL1,EFO:0002132,Same,EFO:0002132,,True,True,
67,CHP-212,EFO:0002133,CHP212,EFO:0002133,Same,EFO:0002133,,True,True,
