metric,value,numerator,denominator,evaluation_unit,status
Top-1,0.9534591194968554,,795,unique_query,OK
Top-3,0.9660377358490566,,795,unique_query,OK
Top-5,0.9660377358490566,,795,unique_query,OK
MRR,0.959538784067086,,795,unique_query,OK
Recall@GT,0.9534591194968554,,795,unique_query,OK
% Same,0.9534591194968554,,795,unique_query,OK
% More Specific,,,795,unique_query,OK
% More General,0.0012578616352201257,,795,unique_query,OK
% Sibling,0.005031446540880503,,795,unique_query,OK
% Unrelated,0.022641509433962263,,795,unique_query,OK
Precision,0.9769526248399488,,795,unique_query,OK
Recall,0.9819819819819819,,795,unique_query,OK
F1,0.9794608472400514,,795,unique_query,OK
