query_id,query,predicted_code,predicted_label,gold_codes,graph_relationship,graph_matched_gold_code,graph_shared_parent_code,graph_prediction_found,graph_gold_found,note
0,B-lymphoblastic leukemia/lymphoma,EFO:0000094,B-cell acute lymphoblastic leukemia,EFO:0000094,Same,EFO:0000094,,True,True,
1,obsolete precursor B lymphoblastic lymphoma/leukemia,EFO:0000094,B-cell acute lymphoblastic leukemia,EFO:0000094,Same,EFO:0000094,,True,True,
2,B-cell acute lymphoblastic leukemia,EFO:0000094,B-cell acute lymphoblastic leukemia,EFO:0000094,Same,EFO:0000094,,True,True,
3,B Lymphoblastic Leukemia/Lymphoma,EFO:0000094,B-cell acute lymphoblastic leukemia,EFO:0000094,Same,EFO:0000094,,True,True,
4,chronic lymphocytic leukemia,EFO:0000095,chronic lymphocytic leukemia,EFO:0000095,Same,EFO:0000095,,True,True,
5,B-cell chronic lymphocytic leukemia,EFO:0000095,chronic lymphocytic leukemia,EFO:0000095,Same,EFO:0000095,,True,True,
6,Chronic Lymphocytic Leukemia,EFO:0000095,chronic lymphocytic leukemia,EFO:0000095,Same,EFO:0000095,,True,True,
7,mature B-cell neoplasm,EFO:0000096,neoplasm of mature B-cells,EFO:0000096,Same,EFO:0000096,,True,True,
8,neoplasm of mature B-cells,EFO:0000096,neoplasm of mature B-cells,EFO:0000096,Same,EFO:0000096,,True,True,
9,Mature B-Cell Neoplasm,EFO:0000096,neoplasm of mature B-cells,EFO:0000096,Same,EFO:0000096,,True,True,
10,B-Cell Non-Hodgkin Lymphoma,EFO:1001938,B-cell non-Hodgkins lymphoma,EFO:0000096|EFO:1001938,Same,EFO:1001938,,True,True,
11,B cell,CL:0000236,B cell,EFO:0000097|EFO:0000102,Unrelated,,,True,True,
12,hypothalamus,UBERON:0001898,hypothalamus,EFO:0000107,Unrelated,,,True,True,
13,Hypothalamus,UBERON:0001898,hypothalamus,EFO:0000107,Unrelated,,,True,True,
14,olfactory lobe,UBERON:0005366,olfactory lobe,EFO:0000108,Unrelated,,,True,True,
15,Olfactory bulb,UBERON:0005366,olfactory lobe,EFO:0000108,Unrelated,,,True,True,
16,olfactory bulb,UBERON:0005366,olfactory lobe,EFO:0000108,Unrelated,,,True,True,
17,spinal cord,UBERON:0002240,spinal cord,EFO:0000110,Unrelated,,,True,True,
18,Spinal cord,UBERON:0002240,spinal cord,EFO:0000110,Unrelated,,,True,True,
19,Ewing sarcoma,EFO:0000174,Ewing sarcoma,EFO:0000173|EFO:0000174,Same,EFO:0000174,,True,True,
20,Askin's tumor,EFO:1000095,Askin Tumor,EFO:0000174|EFO:1000095,Same,EFO:1000095,,True,True,
21,Ewing Sarcoma,EFO:0000174,Ewing sarcoma,EFO:0000174,Same,EFO:0000174,,True,True,
22,Askin Tumor,EFO:1000095,Askin Tumor,EFO:0000174|EFO:1000095,Same,EFO:1000095,,True,True,
23,Peripheral Primitive Neuroectodermal Tumor,MONDO:0018271,peripheral primitive neuroectodermal tumor,EFO:0000174,Sibling,EFO:0000174,MONDO:0021038,True,True,
24,gastric fundus cancer,EFO:0000178,gastric carcinoma,EFO:0000178,Same,EFO:0000178,,True,True,
25,stomach carcinoma,EFO:0000178,gastric carcinoma,EFO:0000178,Same,EFO:0000178,,True,True,
26,gastric carcinoma,EFO:0000178,gastric carcinoma,EFO:0000178,Same,EFO:0000178,,True,True,
27,Gastric Carcinoma,EFO:0000178,gastric carcinoma,EFO:0000178,Same,EFO:0000178,,True,True,
28,head and neck squamous cell carcinoma,EFO:0000181,head and neck squamous cell carcinoma,EFO:0000181,Same,EFO:0000181,,True,True,
29,Head and Neck Squamous Cell Carcinoma,EFO:0000181,head and neck squamous cell carcinoma,EFO:0000181,Same,EFO:0000181,,True,True,
30,hepatocellular carcinoma,EFO:0000182,hepatocellular carcinoma,EFO:0000182,Same,EFO:0000182,,True,True,
31,liver carcinoma,MONDO:0018531,carcinoma of liver and intrahepatic biliary tract,EFO:0000182,More General,EFO:0000182,,True,True,
32,Hepatocellular Carcinoma,EFO:0000182,hepatocellular carcinoma,EFO:0000182,Same,EFO:0000182,,True,True,
33,Hodgkin's lymphoma,EFO:0000183,Hodgkins lymphoma,EFO:0000183,Same,EFO:0000183,,True,True,
34,Hodgkins lymphoma,EFO:0000183,Hodgkins lymphoma,EFO:0000183,Same,EFO:0000183,,True,True,
35,Hodgkin Lymphoma,EFO:0000183,Hodgkins lymphoma,EFO:0000183,Same,EFO:0000183,,True,True,
36,invasive ductal carcinoma,EFO:0000186,invasive breast ductal carcinoma,EFO:0000186|EFO:0000431,Same,EFO:0000186,,True,True,
37,invasive breast ductal carcinoma,EFO:0000186,invasive breast ductal carcinoma,EFO:0000186,Same,EFO:0000186,,True,True,
38,invasive ductal breast carcinoma,EFO:0000186,invasive breast ductal carcinoma,EFO:0000186,Same,EFO:0000186,,True,True,
39,Invasive Breast Carcinoma of No Special Type,EFO:0000186,invasive breast ductal carcinoma,EFO:0000186,Same,EFO:0000186,,True,True,
40,Kaposi's sarcoma cell,EFO:0000187,Kaposi's sarcoma cell,EFO:0000187,Same,EFO:0000187,,True,True,
41,extranodal marginal zone lymphoma of mucosa-associated lymphoid tissue,EFO:0000191,MALT lymphoma,EFO:0000191,Same,EFO:0000191,,True,True,
42,MALT lymphoma,EFO:0000191,MALT lymphoma,EFO:0000191,Same,EFO:0000191,,True,True,
43,Extranodal Marginal Zone Lymphoma of Mucosa-Associated Lymphoid Tissue,EFO:0000191,MALT lymphoma,EFO:0000191,Same,EFO:0000191,,True,True,
44,MELAS syndrome,MONDO:0010789,MELAS syndrome,EFO:0000192,Unrelated,,,True,True,
45,malignant peripheral nerve sheath tumor,EFO:0000760,malignant peripheral nerve sheath tumor,EFO:0000194|EFO:0000760,Same,EFO:0000760,,True,True,
46,abdominal obesity-metabolic syndrome 1,MONDO:0000816,abdominal obesity-metabolic syndrome,EFO:0000195,Unrelated,,,True,True,
47,metastatic prostate cancer,EFO:0000196,metastatic prostate cancer,EFO:0000196,Same,EFO:0000196,,True,True,
48,metastatic prostate carcinoma,EFO:0000196,metastatic prostate cancer,EFO:0000196,Same,EFO:0000196,,True,True,
49,Metastatic Prostate Carcinoma,EFO:0000196,metastatic prostate cancer,EFO:0000196,Same,EFO:0000196,,True,True,
50,mucinous adenocarcinoma,EFO:0000197,mucinous carcinoma,EFO:0000197,Same,EFO:0000197,,True,True,
51,mucinous carcinoma,EFO:0000197,mucinous carcinoma,EFO:0000197,Same,EFO:0000197,,True,True,
52,Mucinous Adenocarcinoma,EFO:0000197,mucinous carcinoma,EFO:0000197,Same,EFO:0000197,,True,True,
53,myelodysplastic syndrome,EFO:0000198,myelodysplastic syndrome,EFO:0000198,Same,EFO:0000198,,True,True,
54,Myelodysplastic Syndrome,EFO:0000198,myelodysplastic syndrome,EFO:0000198,Same,EFO:0000198,,True,True,
55,oral squamous cell carcinoma,EFO:0000199,oral squamous cell carcinoma,EFO:0000199,Same,EFO:0000199,,True,True,
56,oral cavity squamous cell carcinoma,EFO:0000199,oral squamous cell carcinoma,EFO:0000199,Same,EFO:0000199,,True,True,
57,Oral Cavity Squamous Cell Carcinoma,EFO:0000199,oral squamous cell carcinoma,EFO:0000199,Same,EFO:0000199,,True,True,
58,plasma cell neoplasm,EFO:0000200,plasma cell neoplasm,EFO:0000200,Same,EFO:0000200,,True,True,
59,Plasma Cell Neoplasm,EFO:0000200,plasma cell neoplasm,EFO:0000200,Same,EFO:0000200,,True,True,
60,monoclonal gammopathy of uncertain significance,EFO:1000836,benign monoclonal gammopathy,EFO:0000203,More Specific,EFO:0000203,,True,True,
61,monoclonal gammopathy,EFO:0000203,monoclonal gammopathy,EFO:0000203,Same,EFO:0000203,,True,True,
62,Monoclonal Gammopathy,EFO:0000203,monoclonal gammopathy,EFO:0000203,Same,EFO:0000203,,True,True,
63,stage I endometrioid carcinoma,EFO:0000205,stage I endometrioid carcinoma,EFO:0000205,Same,EFO:0000205,,True,True,
64,stage II endometrioid carcinoma,EFO:0000206,stage II endometrioid carcinoma,EFO:0000206,Same,EFO:0000206,,True,True,
65,adult T-cell leukemia/lymphoma,MONDO:0019471,adult T-cell leukemia/lymphoma,EFO:0000209,Unrelated,,,True,True,
66,T-cell acute lymphoblastic leukemia,EFO:0000209,T-cell acute lymphoblastic leukemia,EFO:0000209,Same,EFO:0000209,,True,True,
67,T Acute Lymphoblastic Leukemia,EFO:0000209,T-cell acute lymphoblastic leukemia,EFO:0000209,Same,EFO:0000209,,True,True,
68,lymphocyte,CL:0000542,lymphocyte,EFO:0000210,Unrelated,,,True,True,
69,unspecified peripheral T-cell lymphoma,EFO:0000211,unspecified peripheral T-cell lymphoma,EFO:0000211,Same,EFO:0000211,,True,True,
70,"peripheral T-cell lymphoma, not otherwise specified",EFO:0000211,unspecified peripheral T-cell lymphoma,EFO:0000211,Same,EFO:0000211,,True,True,
71,"Peripheral T-Cell Lymphoma, Not Otherwise Specified",EFO:0000211,unspecified peripheral T-cell lymphoma,EFO:0000211,Same,EFO:0000211,,True,True,
72,nephroblastoma,ORDO:654,Nephroblastoma,EFO:0000212,Unrelated,,,True,True,
73,acinar cell carcinoma,EFO:0000216,acinar cell carcinoma,EFO:0000216,Same,EFO:0000216,,True,True,
74,Acinar Cell Carcinoma,EFO:0000216,acinar cell carcinoma,EFO:0000216,Same,EFO:0000216,,True,True,
75,gastritis,EFO:0000217,gastritis,EFO:0000217|EFO:0000337,Same,EFO:0000217,,True,True,
76,Gastrit,EFO:0000217,gastritis,EFO:0000217,Same,EFO:0000217,,True,True,
77,Gastritis,EFO:0000217,gastritis,EFO:0000217,Same,EFO:0000217,,True,True,
78,acute erythroid leukemia,EFO:0000218,acute erythroleukemia,EFO:0000218,Same,EFO:0000218,,True,True,
79,Acute Erythroid Leukemia,EFO:0000218,acute erythroleukemia,EFO:0000218,Same,EFO:0000218,,True,True,
80,obsolete precursor lymphoblastic lymphoma/leukemia,EFO:0009119,precursor lymphoblastic lymphoma/leukemia,EFO:0000219|EFO:0009119,Same,EFO:0009119,,True,True,
