query_id,source_query,gold_codes,gold_labels,original_row_indices,original_mapping_pair_count
0,Alzheimer s disease,EFO:0000249,Alzheimer's disease,0,1
1,Endocarditis valve unspecified,EFO:0000465,endocarditis,1,1
2,Family history of other conditions,EFO:0000493,family history,2,1
3,Unspecified maternal hypertension,EFO:0000668,preeclampsia,3,1
4,Stroke not specified as haemorrhage or infarction,EFO:0000712,stroke,4,1
5,Subarachnoid haemorrhage,EFO:0000713,subarachnoid hemorrhage,5,1
6,Unspecified human immunodeficiency virus,EFO:0000764,HIV infection,6,1
7,Other endocrine disorders,EFO:0001379,endocrine system disease,7,1
8,Other diseases of liver,EFO:0001421,liver disease,8,1
9,Primary disorders of muscles,EFO:0002970,muscular disease,9,1
10,Pervasive developmental disorders,EFO:0003759,pervasive developmental disorder - not otherwise specified,10,1
11,Other cerebrovascular diseases,EFO:0003763,cerebrovascular disorder,11,1
12,Other diseases of gallbladder,EFO:0003832,gallbladder disease,12,1
13,Pain,EFO:0003843,pain,13,1
14,Fracture of spine level unspecified,EFO:0003902,spinal fracture',14,1
15,Acute hepatitis B,EFO:0004197,hepatitis B infection,15,1
16,Abnormalities of heart beat,EFO:0004269,cardiac arrythmia,16,1
17,Scoliosis,EFO:0004273,scoliosis,17,1
18,Other congenital malformations of heart,EFO:0005269,congenital heart malformation,18,1
19,Disorders of tooth development and eruption,EFO:0005410,tooth agenesis,19,1
20,Intracerebral haemorrhage,EFO:0005669,intracerebral hemorrhage,20,1
21,Retinal detachments and breaks,EFO:0005773,retinal detachment,21,1
22,Tuberculosis of nervous system,EFO:0007199,central nervous system tuberculosis,22,1
23,Acute hepatitis A,EFO:0007305,hepatitis A,23,1
24,Hookworm diseases,EFO:0007314,hookworm infectious disease,24,1
25,Female infertility,EFO:0008560,female infertility,25,1
26,Sleep disorders,EFO:0008568,sleep disorder,26,1
27,Thiamine deficiency,EFO:0008569,Thiamine deficiency,27,1
28,Viral conjunctivitis,EFO:0008571,viral conjunctivitis,28,1
29,Alcoholic liver disease,EFO:0008573,alcoholic liver disease,29,1
30,Spinal osteochondrosis,EFO:0008576,Spinal Osteochondrosis,30,1
31,Diseases of salivary glands,EFO:0008581,salivary gland disease,31,1
32,Gender identity disorders,EFO:0008587,gender identity disorder,32,1
33,Status asthmaticus,EFO:0008590,status asthmaticus,33,1
34,Cystic kidney disease,EFO:0008615,cystic kidney disease,34,1
35,Polyp of female genital tract,EFO:0008622,female genital tract polyp,35,1
36,Persistent mood,EFO:0008623,dysthymic disorder,36,1
37,Disorders of vitreous body,EFO:0008624,vitreous body disease,37,1
38,Ovarian dysfunction,EFO:0009003,ovarian dysfunction,38,1
39,Other coagulation defects,EFO:0009314,blood coagulation disease,39,1
40,Granulomatous disorders of skin and subcutaneous tissue,EFO:1000705,granulomatous dermatitis,40,1
41,Excessive vomiting in pregnancy,EFO:1000971,hyperemesis gravidarum,41,1
42,Hyperfunction of pituitary gland,EFO:1000973,hyperpituitarism,42,1
43,Other nutritional deficiencies,EFO:1001067,nutritional deficiency disease,43,1
44,Other rheumatic heart diseases,EFO:1001161,rheumatic heart disease,44,1
45,Other helminthiases,EFO:1001342,Helminthiasis,45,1
46,Unspecified viral infection of CNS,EFO:1001456,central nervous system infection,46,1
47,Diverticular disease of intestine,EFO:1001460,diverticulitis,47,1
48,Premature separation of placenta,EFO:1001754,Abruptio Placentae,48,1
49,Retention of urine,HP:0000016,Urinary retention,49,1
50,Unspecified urinary incontinence,HP:0000020,Urinary incontinence,50,1
51,Isolated proteinuria,HP:0000093,proteinuria,51,1
52,Cleft palate,HP:0000175,cleft palate,52,1
53,Hydrocephalus,HP:0000238,hydrocephalus,53,1
54,Visual disturbances,HP:0000505,Visual impairment,54,1
55,Unspecified dementia,HP:0000726,dementia,55,1
56,Unspecified haematuria,HP:0000790,hematuria,56,1
57,Cholecystitis,HP:0001082,Cholecystitis,57,1
58,Dystonia,HP:0001332,Dystonia,58,1
59,Ascites,HP:0001541,Ascites,59,1
60,Iron deficiency anaemia,HP:0001891,Iron deficiency anemia,60,1
61,Acute renal failure,HP:0001919,acute kidney injury,61,1
62,Nonspecific lymphadenitis,HP:0002840,lymphadenitis,62,1
63,Cachexia,HP:0004326,cachexia,63,1
64,Disseminated intravascular coagulation,HP:0005521,Disseminated intravascular coagulation,64,1
65,Senile cataract,HP:0011141,age-related cataract,65,1
66,Agranulocytosis,HP:0012234,Agranulocytosis,66,1
67,Helicobacter pylori,NCBITaxon:210,Helicobacter pylori,67,1
68,Reduction defects of lower limb,Orphanet:2130,Hemimelia,68,1
69,Congenital hydrocephalus,Orphanet:2185,Congenital hydrocephalus,69,1
70,Immunodeficiency with predominantly antibody defects,Orphanet:331244,Other immunodeficiency syndrome with predominantly antibody defects,70,1
71,Congenital malformations of oesophagus,Orphanet:88993,Esophageal malformation,71,1
72,Syndactyly,Orphanet:90025,Syndactyly,72,1
73,Other congenital malformations of intestine,Orphanet:97945,Intestinal malformation,73,1
74,Other disorders of peripheral nervous system,EFO:0009387,peripheral nervous system disease,74,1
75,Spondylosis,EFO:0000706,spondyloarthropathy,75,1
76,Other retinal disorders,EFO:0003839,retinopathy,76,1
77,Arterial embolism and thrombosis,EFO:0004286,venous thromboembolism,77,1
78,Juvenile osteochondrosis of hip and pelvis,Orphanet:2380,Legg-Calvé-Perthes disease,78,1
79,Encephalitis myelitis and encephalomyelitis,EFO:0007364,meningoencephalitis,79,1
80,Atrial fibrillation and flutter,EFO:0000275,atrial fibrillation,80,1
81,Dermatopolymyositis,EFO:0000398,dermatomyositis,81,1
82,Lack of food,EFO:0008572,malnutrition,82,1
83,Inflammatory diseases of prostate,EFO:0003830,prostatitis,83,1
84,Chronic renal failure,EFO:0003884,chronic kidney disease,84,1
85,Postpolio syndrome,EFO:0007454,postpoliomyelitis syndrome,85,1
86,Atopic dermatitis,EFO:0000274,atopic aczema,86,1
87,Cardiomyopathy,EFO:0000318,cardiomyopathy,87,1
88,other disorders of circulatory system,EFO:0000319,cardiovascular disease,88,1
89,Crohn s disease,EFO:0000384,Crohn's disease,89,1
90,Unspecified diabetes mellitus,EFO:0000400,diabetes mellitus,90,1
91,Other specified diabetes mellitus,EFO:0000400,diabetes mellitus,91,1
92,Epilepsy,EFO:0000474,epilepsy,92,1
93,Glaucoma,EFO:0000516,glaucoma,93,1
94,Irritable bowel syndrome,EFO:0000555,irritable bowel syndrome,94,1
95,Schizophrenia,EFO:0000692,schizophrenia,95,1
96,Ulcerative colitis,EFO:0000729,ulcerative colitis,96,1
97,Viral infection of unspecified site,EFO:0000763,viral disease,97,1
98,Myositis,EFO:0000783,myositis,98,1
99,Other cataract,EFO:0001059,cataract,99,1
100,Cytomegaloviral disease,EFO:0001062,cytomegalovirus infection,100,1
101,Endometriosis,EFO:0001065,endometriosis,101,1
102,Obesity,EFO:0001073,obesity,102,1
103,Insulin dependent diabetes mellitus,EFO:0001359,type I diabetes mellitus,103,1
104,Non insulin dependent diabetes mellitus,EFO:0001360,type II diabetes mellitus,104,1
105,Parkinson s disease,EFO:0002508,Parkinson's disease,105,1
106,Juvenile arthritis,EFO:0002609,chronic childhood arthritis,106,1
107,Cellulitis,EFO:0003035,cellulitis,107,1
108,Cushing s syndrome,EFO:0003099,Cushing syndrome,108,1
109,Osteomyelitis,EFO:0003102,osteomyelitis,109,1
110,Spina bifida,EFO:0003105,spina bifida,110,1
111,Heart failure,EFO:0003144,heart failure,111,1
112,Vitamin D deficiency,EFO:0003762,vitamin D deficiency,112,1
113,Dental caries,EFO:0003819,dental caries,113,1
114,Migraine,EFO:0003821,migraine disorder,114,1
