query_id,query,predicted_code,predicted_label,predicted_ontology,gold_codes,gold_labels,graph_relationship,graph_matched_gold_code,reviewer_decision,reviewer_notes
3,Unspecified maternal hypertension,MONDO:0024664,"hypertension, pregnancy-induced",MONDO,EFO:0000668,preeclampsia,More General,EFO:0000668,,
10,Pervasive developmental disorders,MONDO:0000594,pervasive developmental disorder,MONDO,EFO:0003759,pervasive developmental disorder - not otherwise specified,More General,EFO:0003759,,
19,Disorders of tooth development and eruption,EFO:1001216,tooth disease,EFO,EFO:0005410,tooth agenesis,More General,EFO:0005410,,
46,Unspecified viral infection of CNS,MONDO:0024318,viral infection of central nervous system,MONDO,EFO:1001456,central nervous system infection,More Specific,EFO:1001456,,
47,Diverticular disease of intestine,EFO:0009959,diverticular disease,EFO,EFO:1001460,diverticulitis,More General,EFO:1001460,,
54,Visual disturbances,HP:0000504,Abnormality of vision,HPO,HP:0000505,Visual impairment,More General,HP:0000505,,
79,Encephalitis myelitis and encephalomyelitis,EFO:0001423,encephalomyelitis,EFO,EFO:0007364,meningoencephalitis,More General,EFO:0007364,,
81,Dermatopolymyositis,MONDO:0600023,idiopathic inflammatory myopathy,MONDO,EFO:0000398,dermatomyositis,More General,EFO:0000398,,
98,Myositis,MONDO:0600023,idiopathic inflammatory myopathy,MONDO,EFO:0000783,myositis,More Specific,EFO:0000783,,
133,Calculus of kidney and ureter,MONDO:0024647,urolithiasis,MONDO,EFO:0004253,nephrolithiasis,More General,EFO:0004253,,
193,Unspecified acute lower respiratory infection,MONDO:0024355,respiratory tract infectious disorder,MONDO,EFO:0009433,lower respiratory tract disease,Sibling,EFO:0009433,,
197,Thyroiditis,MONDO:0004126,thyroiditis,MONDO,EFO:1000627,thyroid disease,More Specific,EFO:1000627,,
239,Oesophagitis,MONDO:0001409,esophagitis,MONDO,HP:0100633,esophagitis,Sibling,HP:0100633,,
280,Congenital malformations of anterior segment of eye,HP:0004328,Abnormal anterior eye segment morphology,HPO,HP:0007700,Anterior segment developmental abnormality,More General,HP:0007700,,
281,Gynecomastia,HP:0000771,Gynecomastia,HPO,HP:0010313,breast hypertrophy,Sibling,HP:0010313,,
286,Congenital malformations of larynx,HP:0001600,Abnormality of the larynx,HPO,HP:0025423,Abnormal larynx morphology,More General,HP:0025423,,
290,Other mosquito borne viral fevers,EFO:1001269,Arbovirus Infections,EFO,EFO:0009575,mosquito-borne hemorragic fever,Sibling,EFO:0009575,,
310,uremia,EFO:1001226,uremia,EFO,EFO:1002048,kidney failure,More Specific,EFO:1002048,,
313,marasmus,EFO:1001033,marasmus,EFO,EFO:0009563,protein energy malnutrition,More Specific,EFO:0009563,,
369,hayfever or allergic rhinitis,EFO:0005854,allergic rhinitis,EFO,EFO:0003956,seasonal allergic rhinitis,More General,EFO:0003956,,
402,gestational hypertension/pre-eclampsia,MONDO:0024664,"hypertension, pregnancy-induced",MONDO,EFO:0000668,preeclampsia,More General,EFO:0000668,,
425,gastric/stomach ulcers,EFO:0009454,gastric ulcer,EFO,HP:0004398,peptic ulcer,More Specific,HP:0004398,,
430,liver failure/cirrhosis,MONDO:0100192,liver failure,MONDO,EFO:0001422,cirrhosis of liver,Sibling,EFO:0001422,,
439,urinary frequency / incontinence,HP:0000020,Urinary incontinence,HPO,EFO:0006865,urgency urinary incontinence,More General,EFO:0006865,,
444,parathyroid hyperplasia/adenoma,EFO:0005754,parathyroid disease,EFO,EFO:1000457,parathyroid hyperplasia,More General,EFO:1000457,,
446,encephalitis,MONDO:0019956,encephalitis,MONDO,EFO:0001423,encephalomyelitis,More Specific,EFO:0001423,,
475,vaginal prolapse/uterine prolapse,EFO:0004710,pelvic organ prolapse,EFO,EFO:1001864,uterine prolapse,More General,EFO:1001864,,
497,thyroiditis,MONDO:0004126,thyroiditis,MONDO,EFO:1000627,thyroid disease,More Specific,EFO:1000627,,
513,diverticular disease/diverticulitis,EFO:0009959,diverticular disease,EFO,EFO:1001460,diverticulitis,More General,EFO:1001460,,
515,rectal or colon adenoma/polyps,EFO:0005406,colorectal adenoma,EFO,EFO:1000633,adenomatous colon polyp,More General,EFO:1000633,,
569,cervical intra-epithelial neoplasia (cin) / precancerous cells cervix,MONDO:0022394,cervical intraepithelial neoplasia,MONDO,EFO:1000910,dysplasia of cervix,More Specific,EFO:1000910,,
601,bursitis,MONDO:0002471,bursitis,MONDO,EFO:1000941,frozen shoulder,Sibling,EFO:1000941,,
632,fracture forearm / wrist,EFO:0009514,upper extremity fracture,EFO,EFO:0009515,wrist fracture,More General,EFO:0009515,,
633,fracture wrist / colles fracture,EFO:0003957,radius fracture,EFO,EFO:0009515,wrist fracture,Sibling,EFO:0009515,,
644,Age completed full time education,EFO:0011015,educational attainment,EFO,EFO:0004784,self reported educational attainment,More General,EFO:0004784,,
652,Creatinine (enzymatic) in urine,EFO:0004518,creatinine measurement,EFO,EFO:0007934,creatine clearance measurement,Sibling,EFO:0007934,,
653,cin/pre-cancer cells cervix,MONDO:0022394,cervical intraepithelial neoplasia,MONDO,EFO:1000910,dysplasia of cervix,More Specific,EFO:1000910,,
655,pericardial problem,MONDO:0000474,pericardium disorder,MONDO,EFO:0007427,pericarditis,More General,EFO:0007427,,
715,peripheral nerve disorder,EFO:0003100,peripheral neuropathy,EFO,EFO:0009387,peripheral nervous system disease,More Specific,EFO:0009387,,
737,Other_fluke_infections,EFO:1001438,Trematode Infections,EFO,EFO:1001342,infectious disease,Sibling,EFO:1001342,,
779,Myeloid leukaemia,MONDO:0004643,myeloid leukemia,MONDO,EFO:0000222,acute myeloid leukemia,More General,EFO:0000222,,
784,"Other disorders of skin and subcutaneous tissue, not elsewhere classified",EFO:0010285,integumentary system disease,EFO,EFO:0000701,skin disease,More General,EFO:0000701,,
802,"Dislocation, sprain and strain of joints and ligaments at neck level",EFO:0009582,sprain,EFO,EFO:0009476,neck injury,Sibling,EFO:0009476,,
808,Other symptoms and signs involving the urinary system,HP:0011277,Abnormality of the urinary system physiology,HPO,HP:0000079,abnormality of the urinary system,More Specific,HP:0000079,,
831,Other disorders of muscle,MONDO:0003939,muscle tissue disorder,MONDO,EFO:0002970,muscular disease,Sibling,EFO:0002970,,
840,Other disorders of teeth and supporting structures,EFO:0010693,tooth-supporting structures disease,EFO,EFO:1001216,tooth disease,Sibling,EFO:1001216,,
842,Other diseases of anus and rectum,EFO:0000405,digestive system disease,EFO,EFO:0009660|EFO:0009685,anus disease|rectal disease,More General,EFO:0009660,,
851,Other diseases of pericardium,MONDO:0000474,pericardium disorder,MONDO,EFO:0007427,pericarditis,More General,EFO:0007427,,
