mode,bin_lower,bin_upper,count,mean_confidence,empirical_accuracy,calibration_gap
disabled,0.0,0.1,0,,,
disabled,0.1,0.2,0,,,
disabled,0.2,0.3,0,,,
disabled,0.3,0.4,3,0.3499999999999999,0.6666666666666666,0.3166666666666667
disabled,0.4,0.5,2,0.435,0.5,0.065
disabled,0.5,0.6,13,0.5507692307692308,0.7692307692307693,0.21846153846153848
disabled,0.6,0.7,6,0.655,0.6666666666666666,0.011666666666666603
disabled,0.7,0.8,30,0.7323333333333333,0.5333333333333333,0.19899999999999995
disabled,0.8,0.9,42,0.8314285714285715,0.7857142857142857,0.04571428571428582
disabled,0.9,1.0,47,0.9176595744680852,0.8723404255319149,0.045319148936170284
