metric,value
mode,disabled
n,218
top1_accuracy,0.5321100917431193
top3_accuracy,0.5412844036697247
top5_accuracy,0.5412844036697247
mrr,0.5359327217125383
recall_at_gt,0.5275229357798165
recall_at_gt_n,218
abstention_count,53
abstention_total,218
abstention_rate,0.24311926605504589
grounding_rate,0.0
hallucination_rate,0.07272727272727272
validation_coverage,1.0
unresolved_validation_count,0
unresolved_validation_rate,0.0
valid_code_count,153
invalid_code_count,12
roc_auc,0.6374912033779029
roc_auc_status,OK
brier_score,0.21777939393939394
ece,0.14351515151515148
rank_sum_test_name,scipy.stats.ranksums (Wilcoxon rank-sum test)
rank_sum_statistic,2.7870099982939065
rank_sum_p_value,0.005319683766156807
cohens_d,0.3178106695757023
execution_error_count,0
execution_error_rate,0.0
mapped_count,165
unmapped_count,53
mean_end_to_end_seconds,5.188356516816893
median_end_to_end_seconds,4.889608104007493
mean_llm_seconds,
median_llm_seconds,
total_api_cost_usd,
mean_api_cost_per_row_usd,
