mode,bin_lower,bin_upper,count,mean_confidence,empirical_accuracy,calibration_gap
local,0.0,0.1,0,,,
local,0.1,0.2,0,,,
local,0.2,0.3,0,,,
local,0.3,0.4,0,,,
local,0.4,0.5,0,,,
local,0.5,0.6,2,0.5700000000000001,0.0,0.5700000000000001
local,0.6,0.7,9,0.6666666666666666,0.4444444444444444,0.2222222222222222
local,0.7,0.8,6,0.75,0.3333333333333333,0.4166666666666667
local,0.8,0.9,17,0.8482352941176471,0.47058823529411764,0.37764705882352945
local,0.9,1.0,169,0.9801775147928995,0.8698224852071006,0.1103550295857989
