metric,value
mode,local
n,218
top1_accuracy,0.7385321100917431
top3_accuracy,0.8990825688073395
top5_accuracy,0.9174311926605505
mrr,0.8185779816513761
recall_at_gt,0.7385321100917431
recall_at_gt_n,218
abstention_count,15
abstention_total,218
abstention_rate,0.06880733944954129
grounding_rate,1.0
hallucination_rate,0.07389162561576355
validation_coverage,1.0
unresolved_validation_count,0
unresolved_validation_rate,0.0
valid_code_count,188
invalid_code_count,15
roc_auc,0.8751848565513162
roc_auc_status,OK
brier_score,0.15884778325123153
ece,0.15128078817733998
rank_sum_test_name,scipy.stats.ranksums (Wilcoxon rank-sum test)
rank_sum_statistic,7.482701545292508
rank_sum_p_value,7.281010853604208e-14
cohens_d,1.390067179031193
execution_error_count,0
execution_error_rate,0.0
mapped_count,203
unmapped_count,15
mean_end_to_end_seconds,6.554618142862895
median_end_to_end_seconds,6.337344541498169
mean_llm_seconds,6.153452929096319
median_llm_seconds,6.0000709789965185
total_api_cost_usd,0.24689198
mean_api_cost_per_row_usd,0.001132532018348624
