metric,value
mode,public
n,218
top1_accuracy,0.5871559633027523
top3_accuracy,0.6238532110091743
top5_accuracy,0.6238532110091743
mrr,0.6055045871559633
recall_at_gt,0.5848623853211009
recall_at_gt_n,218
abstention_count,48
abstention_total,218
abstention_rate,0.22018348623853212
grounding_rate,1.0
hallucination_rate,0.052941176470588235
validation_coverage,1.0
unresolved_validation_count,0
unresolved_validation_rate,0.0
valid_code_count,161
invalid_code_count,9
roc_auc,0.8745349702380952
roc_auc_status,OK
brier_score,0.20777588235294117
ece,0.21217647058823533
rank_sum_test_name,scipy.stats.ranksums (Wilcoxon rank-sum test)
rank_sum_statistic,7.274691348486732
rank_sum_p_value,3.4721339617437134e-13
cohens_d,1.3961657590827443
execution_error_count,0
execution_error_rate,0.0
mapped_count,170
unmapped_count,48
mean_end_to_end_seconds,6.369401158857476
median_end_to_end_seconds,6.24752935449942
mean_llm_seconds,4.848084373261572
median_llm_seconds,4.711278875009157
total_api_cost_usd,0.20779922
mean_api_cost_per_row_usd,0.0009532074311926605
