benchmark,tool,metric,value,denominator,source_publication,source_table_or_figure,notes
UKBB-EFO,metaharmonizer_ontology_mapper,Top-1,0.779,888,MetaHarmonizer paper (benchmark table supplied by project maintainer; not re-derived from the PDF in this repository),not verified in this repository -- exact table/figure number not confirmed against the published PDF,"tool=metaharmonizer_ontology_mapper is the paper's OM (OntologyMapper) component of MetaHarmonizer, displayed as ""MetaHarmonizer (OM)""."
UKBB-EFO,metaharmonizer_ontology_mapper,Top-3,0.870,888,MetaHarmonizer paper (benchmark table supplied by project maintainer; not re-derived from the PDF in this repository),not verified in this repository -- exact table/figure number not confirmed against the published PDF,"tool=metaharmonizer_ontology_mapper is the paper's OM (OntologyMapper) component of MetaHarmonizer, displayed as ""MetaHarmonizer (OM)""."
UKBB-EFO,metaharmonizer_ontology_mapper,Top-5,0.894,888,MetaHarmonizer paper (benchmark table supplied by project maintainer; not re-derived from the PDF in this repository),not verified in this repository -- exact table/figure number not confirmed against the published PDF,"tool=metaharmonizer_ontology_mapper is the paper's OM (OntologyMapper) component of MetaHarmonizer, displayed as ""MetaHarmonizer (OM)""."
UKBB-EFO,metaharmonizer_ontology_mapper,MRR,0.826,888,MetaHarmonizer paper (benchmark table supplied by project maintainer; not re-derived from the PDF in this repository),not verified in this repository -- exact table/figure number not confirmed against the published PDF,"tool=metaharmonizer_ontology_mapper is the paper's OM (OntologyMapper) component of MetaHarmonizer, displayed as ""MetaHarmonizer (OM)""."
UKBB-EFO,text2term,Top-1,0.716,888,MetaHarmonizer paper (benchmark table supplied by project maintainer; not re-derived from the PDF in this repository),not verified in this repository -- exact table/figure number not confirmed against the published PDF,"tool=text2term is the paper's t2t baseline, displayed as ""text2term (t2t)""."
UKBB-EFO,text2term,Top-3,0.810,888,MetaHarmonizer paper (benchmark table supplied by project maintainer; not re-derived from the PDF in this repository),not verified in this repository -- exact table/figure number not confirmed against the published PDF,"tool=text2term is the paper's t2t baseline, displayed as ""text2term (t2t)""."
UKBB-EFO,text2term,Top-5,0.833,888,MetaHarmonizer paper (benchmark table supplied by project maintainer; not re-derived from the PDF in this repository),not verified in this repository -- exact table/figure number not confirmed against the published PDF,"tool=text2term is the paper's t2t baseline, displayed as ""text2term (t2t)""."
UKBB-EFO,text2term,MRR,0.765,888,MetaHarmonizer paper (benchmark table supplied by project maintainer; not re-derived from the PDF in this repository),not verified in this repository -- exact table/figure number not confirmed against the published PDF,"tool=text2term is the paper's t2t baseline, displayed as ""text2term (t2t)""."
Biomappings-EFO,metaharmonizer_ontology_mapper,Top-1,0.955,795,MetaHarmonizer paper (benchmark table supplied by project maintainer; not re-derived from the PDF in this repository),not verified in this repository -- exact table/figure number not confirmed against the published PDF,"tool=metaharmonizer_ontology_mapper is the paper's OM (OntologyMapper) component of MetaHarmonizer, displayed as ""MetaHarmonizer (OM)""."
Biomappings-EFO,metaharmonizer_ontology_mapper,Top-3,0.982,795,MetaHarmonizer paper (benchmark table supplied by project maintainer; not re-derived from the PDF in this repository),not verified in this repository -- exact table/figure number not confirmed against the published PDF,"tool=metaharmonizer_ontology_mapper is the paper's OM (OntologyMapper) component of MetaHarmonizer, displayed as ""MetaHarmonizer (OM)""."
