benchmark,alignment_id,our_query_id,our_source_original,our_source_normalized,t2t_source_id,t2t_source_original,t2t_source_normalized,our_gold_original,t2t_gold_original,normalized_gold,our_prediction,t2t_prediction,our_status,our_original_graph_relationship,t2t_original_published_classification,ours_recomputed_relationship,t2t_recomputed_relationship,alignment_status
UKBB-EFO,UKBB-EFO::0,0,Alzheimer s disease,Alzheimer s disease,gydiudZPXk,Alzheimer s disease,Alzheimer s disease,EFO:0000249,EFO:0000249,EFO:0000249,MONDO:0004975,MONDO:0004975,mapped,Unrelated,Unrelated,Unrelated,Unrelated,matched
UKBB-EFO,UKBB-EFO::1,1,Endocarditis valve unspecified,Endocarditis valve unspecified,7xszpiWKQG,Endocarditis valve unspecified,Endocarditis valve unspecified,EFO:0000465,EFO:0000465,EFO:0000465,EFO:0000465,EFO:0000465,mapped,Same,Same,Same,Same,matched
UKBB-EFO,UKBB-EFO::2,2,Family history of other conditions,Family history of other conditions,FTwVa6sEcd,Family history of other conditions,Family history of other conditions,EFO:0000493,EFO:0000493,EFO:0000493,EFO:0000493,EFO:0000493,mapped,Same,Same,Same,Same,matched
UKBB-EFO,UKBB-EFO::3,3,Unspecified maternal hypertension,Unspecified maternal hypertension,ZRBv8pSgif,Unspecified maternal hypertension,Unspecified maternal hypertension,EFO:0000668,EFO:0000668,EFO:0000668,MONDO:0024664,EFO:0000537,mapped,More General,More General,More General,More General,matched
UKBB-EFO,UKBB-EFO::4,4,Stroke not specified as haemorrhage or infarction,Stroke not specified as haemorrhage or infarction,LSuML35oA9,Stroke not specified as haemorrhage or infarction,Stroke not specified as haemorrhage or infarction,EFO:0000712,EFO:0000712,EFO:0000712,EFO:0000712,EFO:0020921,mapped,Same,More Specific,Same,More Specific,matched
UKBB-EFO,UKBB-EFO::5,5,Subarachnoid haemorrhage,Subarachnoid haemorrhage,c6TXyKfpeD,Subarachnoid haemorrhage,Subarachnoid haemorrhage,EFO:0000713,EFO:0000713,EFO:0000713,EFO:0000713,EFO:0000713,mapped,Same,Same,Same,Same,matched
UKBB-EFO,UKBB-EFO::6,6,Unspecified human immunodeficiency virus,Unspecified human immunodeficiency virus,eNsG7WeTjw,Unspecified human immunodeficiency virus,Unspecified human immunodeficiency virus,EFO:0000764,EFO:0000764,EFO:0000764,EFO:0000764,EFO:0000764,mapped,Same,Same,Same,Same,matched
UKBB-EFO,UKBB-EFO::7,7,Other endocrine disorders,Other endocrine disorders,gQudZ7dpjs,Other endocrine disorders,Other endocrine disorders,EFO:0001379,EFO:0001379,EFO:0001379,EFO:0001379,EFO:0001379,mapped,Same,Same,Same,Same,matched
UKBB-EFO,UKBB-EFO::8,8,Other diseases of liver,Other diseases of liver,youNCqRhNg,Other diseases of liver,Other diseases of liver,EFO:0001421,EFO:0001421,EFO:0001421,EFO:0001421,EFO:0001421,mapped,Same,Same,Same,Same,matched
UKBB-EFO,UKBB-EFO::9,9,Primary disorders of muscles,Primary disorders of muscles,3j6et9xhRk,Primary disorders of muscles,Primary disorders of muscles,EFO:0002970,EFO:0002970,EFO:0002970,EFO:0002970,EFO:0002970,mapped,Same,Same,Same,Same,matched
UKBB-EFO,UKBB-EFO::10,10,Pervasive developmental disorders,Pervasive developmental disorders,yNBZ4nABdj,Pervasive developmental disorders,Pervasive developmental disorders,EFO:0003759,EFO:0003759,EFO:0003759,MONDO:0000594,EFO:0003756,mapped,More General,More General,More General,More General,matched
UKBB-EFO,UKBB-EFO::11,11,Other cerebrovascular diseases,Other cerebrovascular diseases,vRLVvDEtNk,Other cerebrovascular diseases,Other cerebrovascular diseases,EFO:0003763,EFO:0003763,EFO:0003763,EFO:0003763,EFO:0003763,mapped,Same,Same,Same,Same,matched
UKBB-EFO,UKBB-EFO::12,12,Other diseases of gallbladder,Other diseases of gallbladder,LyLtsMjKT9,Other diseases of gallbladder,Other diseases of gallbladder,EFO:0003832,EFO:0003832,EFO:0003832,EFO:0003832,EFO:0003832,mapped,Same,Same,Same,Same,matched
UKBB-EFO,UKBB-EFO::13,13,Pain,Pain,6TBvUqhL2L,Pain,Pain,EFO:0003843,EFO:0003843,EFO:0003843,EFO:0003843,EFO:0003843,mapped,Same,Same,Same,Same,matched
UKBB-EFO,UKBB-EFO::14,14,Fracture of spine level unspecified,Fracture of spine level unspecified,yUHqUAtpSW,Fracture of spine level unspecified,Fracture of spine level unspecified,EFO:0003902,EFO:0003902,EFO:0003902,EFO:0003902,EFO:0003902,mapped,Same,Same,Same,Same,matched
UKBB-EFO,UKBB-EFO::15,15,Acute hepatitis B,Acute hepatitis B,VBVVJD3SWN,Acute hepatitis B,Acute hepatitis B,EFO:0004197,EFO:0004197,EFO:0004197,EFO:0004197,HP:0200119,mapped,Same,Unrelated,Same,Unrelated,matched
UKBB-EFO,UKBB-EFO::16,16,Abnormalities of heart beat,Abnormalities of heart beat,hjzB9MsjWY,Abnormalities of heart beat,Abnormalities of heart beat,EFO:0004269,EFO:0004269,EFO:0004269,EFO:0004269,HP:0001627,mapped,Same,Unrelated,Same,Unrelated,matched
UKBB-EFO,UKBB-EFO::17,17,Scoliosis,Scoliosis,WnG9JhTJrD,Scoliosis,Scoliosis,EFO:0004273,EFO:0004273,EFO:0004273,EFO:0004273,EFO:0004273,mapped,Same,Same,Same,Same,matched
UKBB-EFO,UKBB-EFO::18,18,Other congenital malformations of heart,Other congenital malformations of heart,cHGS3XxCA9,Other congenital malformations of heart,Other congenital malformations of heart,EFO:0005269,EFO:0005269,EFO:0005269,EFO:0005269,EFO:0005269,mapped,Same,Same,Same,Same,matched
UKBB-EFO,UKBB-EFO::19,19,Disorders of tooth development and eruption,Disorders of tooth development and eruption,wQh2Qs7kjx,Disorders of tooth development and eruption,Disorders of tooth development and eruption,EFO:0005410,EFO:0005410,EFO:0005410,EFO:1001216,MONDO:0002145,mapped,More General,Unrelated,More General,Unrelated,matched
UKBB-EFO,UKBB-EFO::20,20,Intracerebral haemorrhage,Intracerebral haemorrhage,GYikyfvzQR,Intracerebral haemorrhage,Intracerebral haemorrhage,EFO:0005669,EFO:0005669,EFO:0005669,EFO:0005669,EFO:0005669,mapped,Same,Same,Same,Same,matched
UKBB-EFO,UKBB-EFO::21,21,Retinal detachments and breaks,Retinal detachments and breaks,qRB8QL4T4n,Retinal detachments and breaks,Retinal detachments and breaks,EFO:0005773,EFO:0005773,EFO:0005773,EFO:0005773,EFO:0005773,mapped,Same,Same,Same,Same,matched
UKBB-EFO,UKBB-EFO::22,22,Tuberculosis of nervous system,Tuberculosis of nervous system,MxnWctDJNb,Tuberculosis of nervous system,Tuberculosis of nervous system,EFO:0007199,EFO:0007199,EFO:0007199,EFO:0007199,EFO:0007199,mapped,Same,Same,Same,Same,matched
UKBB-EFO,UKBB-EFO::23,23,Acute hepatitis A,Acute hepatitis A,PGydDudQiX,Acute hepatitis A,Acute hepatitis A,EFO:0007305,EFO:0007305,EFO:0007305,EFO:0007305,HP:0200119,mapped,Same,Unrelated,Same,Unrelated,matched
UKBB-EFO,UKBB-EFO::24,24,Hookworm diseases,Hookworm diseases,zvFVMmeqBV,Hookworm diseases,Hookworm diseases,EFO:0007314,EFO:0007314,EFO:0007314,EFO:0007314,EFO:0007314,mapped,Same,Same,Same,Same,matched
