benchmark,source,text2term_version,efo_version,n,relationship,count,proportion,publication
UKBB-EFO,original_text2term_paper,4.1.2,3.62.0,899,Same,660,0.733,"Original text2term publication, Table 1 (as supplied to this repository; https://github.com/rsgoncalves/text2term-evaluation)"
UKBB-EFO,original_text2term_paper,4.1.2,3.62.0,899,More Specific,34,0.040,"Original text2term publication, Table 1 (as supplied to this repository; https://github.com/rsgoncalves/text2term-evaluation)"
UKBB-EFO,original_text2term_paper,4.1.2,3.62.0,899,More General,20,0.022,"Original text2term publication, Table 1 (as supplied to this repository; https://github.com/rsgoncalves/text2term-evaluation)"
UKBB-EFO,original_text2term_paper,4.1.2,3.62.0,899,Sibling,13,0.014,"Original text2term publication, Table 1 (as supplied to this repository; https://github.com/rsgoncalves/text2term-evaluation)"
UKBB-EFO,original_text2term_paper,4.1.2,3.62.0,899,Unrelated,172,0.191,"Original text2term publication, Table 1 (as supplied to this repository; https://github.com/rsgoncalves/text2term-evaluation)"
Biomappings-EFO,original_text2term_paper,4.1.2,3.62.0,795,Same,626,0.787,"Original text2term publication, Table 1 (as supplied to this repository; https://github.com/rsgoncalves/text2term-evaluation)"
Biomappings-EFO,original_text2term_paper,4.1.2,3.62.0,795,More Specific,0,0.000,"Original text2term publication, Table 1 (as supplied to this repository; https://github.com/rsgoncalves/text2term-evaluation)"
Biomappings-EFO,original_text2term_paper,4.1.2,3.62.0,795,More General,2,0.003,"Original text2term publication, Table 1 (as supplied to this repository; https://github.com/rsgoncalves/text2term-evaluation)"
Biomappings-EFO,original_text2term_paper,4.1.2,3.62.0,795,Sibling,47,0.059,"Original text2term publication, Table 1 (as supplied to this repository; https://github.com/rsgoncalves/text2term-evaluation)"
Biomappings-EFO,original_text2term_paper,4.1.2,3.62.0,795,Unrelated,120,0.151,"Original text2term publication, Table 1 (as supplied to this repository; https://github.com/rsgoncalves/text2term-evaluation)"
OLS-EFO (full),original_text2term_paper,4.1.2,3.62.0,8143,Same,6588,0.809,"Original text2term publication, Table 1 (as supplied to this repository; https://github.com/rsgoncalves/text2term-evaluation)"
OLS-EFO (full),original_text2term_paper,4.1.2,3.62.0,8143,More Specific,91,0.011,"Original text2term publication, Table 1 (as supplied to this repository; https://github.com/rsgoncalves/text2term-evaluation)"
OLS-EFO (full),original_text2term_paper,4.1.2,3.62.0,8143,More General,55,0.007,"Original text2term publication, Table 1 (as supplied to this repository; https://github.com/rsgoncalves/text2term-evaluation)"
OLS-EFO (full),original_text2term_paper,4.1.2,3.62.0,8143,Sibling,89,0.011,"Original text2term publication, Table 1 (as supplied to this repository; https://github.com/rsgoncalves/text2term-evaluation)"
OLS-EFO (full),original_text2term_paper,4.1.2,3.62.0,8143,Unrelated,1320,0.162,"Original text2term publication, Table 1 (as supplied to this repository; https://github.com/rsgoncalves/text2term-evaluation)"
