benchmark,relationship,recomputed_count,published_count,agrees
UKBB-EFO,Same,658,660,False
UKBB-EFO,More Specific,36,34,False
UKBB-EFO,More General,20,20,True
UKBB-EFO,Sibling,13,13,True
UKBB-EFO,Unrelated,172,172,True
Biomappings-EFO,Same,626,626,True
Biomappings-EFO,More Specific,0,0,True
Biomappings-EFO,More General,2,2,True
Biomappings-EFO,Sibling,47,47,True
Biomappings-EFO,Unrelated,120,120,True
OLS-EFO (full),Same,6588,6588,True
OLS-EFO (full),More Specific,55,91,False
OLS-EFO (full),More General,91,55,False
OLS-EFO (full),Sibling,89,89,True
OLS-EFO (full),Unrelated,1320,1320,True
