mode,ontology,n,top1_accuracy
public,HPO,64,0.78125
public,ICD10,16,0.25
public,LOINC,47,0.23404255319148937
public,MONDO,49,0.7551020408163265
public,NCIT,14,0.7857142857142857
public,RxNorm,13,1.0
public,SNOMED,15,0.13333333333333333
local,HPO,64,0.90625
local,ICD10,16,0.5625
local,LOINC,47,0.3617021276595745
local,MONDO,49,0.8979591836734694
local,NCIT,14,0.7857142857142857
local,RxNorm,13,0.8461538461538461
local,SNOMED,15,0.4
disabled,HPO,64,0.609375
disabled,ICD10,16,0.4375
disabled,LOINC,47,0.6595744680851063
disabled,MONDO,49,0.40816326530612246
disabled,NCIT,14,0.21428571428571427
disabled,RxNorm,13,0.46153846153846156
disabled,SNOMED,15,0.06666666666666667
