mode,ontology,n,top3_accuracy,top5_accuracy
public,HPO,64,0.828125,0.828125
public,ICD10,16,0.75,0.75
public,LOINC,47,0.574468085106383,0.574468085106383
public,MONDO,49,0.8775510204081632,0.8775510204081632
public,NCIT,14,0.7142857142857143,0.7142857142857143
public,RxNorm,13,1.0,1.0
public,SNOMED,15,0.2,0.2
local,HPO,64,0.953125,0.96875
local,ICD10,16,0.9375,1.0
local,LOINC,47,0.7659574468085106,0.7872340425531915
local,MONDO,49,0.9795918367346939,1.0
local,NCIT,14,0.8571428571428571,0.8571428571428571
local,RxNorm,13,0.9230769230769231,0.9230769230769231
local,SNOMED,15,0.8,0.8
disabled,HPO,64,0.6875,0.6875
disabled,ICD10,16,0.8125,0.8125
disabled,LOINC,47,0.7872340425531915,0.7872340425531915
disabled,MONDO,49,0.32653061224489793,0.32653061224489793
disabled,NCIT,14,0.2857142857142857,0.2857142857142857
disabled,RxNorm,13,0.3076923076923077,0.3076923076923077
disabled,SNOMED,15,0.0,0.0
