metric,public,local,disabled
Top-1,0.6467889908256881,0.7385321100917431,0.5321100917431193
Top-3,0.7385321100917431,0.8990825688073395,0.5412844036697247
Top-5,0.7385321100917431,0.9174311926605505,0.5412844036697247
MRR,0.691131498470948,0.8185779816513761,0.5359327217125383
Recall@GT,0.6467889908256881,0.7385321100917431,0.5275229357798165
Abstention,0.19724770642201836,0.06880733944954129,0.24311926605504589
Hallucination,0.04,0.07389162561576355,0.07272727272727272
Validation coverage,1.0,1.0,1.0
Grounding,1.0,1.0,0.0
AUC,0.8966416353775553,0.8751848565513162,0.6374912033779029
Brier,0.146596,0.15884778325123153,0.21777939393939394
ECE,0.14942857142857147,0.15128078817733998,0.14351515151515148
Cohen's d,1.9558190218056155,1.390067179031193,0.3178106695757023
Execution error rate,0.0,0.0,0.0
Mean E2E latency,7.180971685995563,6.554618142862895,5.188356516816893
Mean LLM latency,5.7503180176735516,6.153452929096319,
Cost / row,0.0012448633027522936,0.001132532018348624,
Total cost,0.2713802,0.24689198,
